bound_scope,change_error_pp,method,observed_change,observed_target,operation,predicted_change,predicted_change_lower,predicted_change_upper,probability,reason,source_campaign_id,source_current_probability,status,target_campaign_id,target_error_pp,target_inputs_used_for_forecast,target_lower,target_upper
unrestricted target business-event law; not a confidence interval,,PMX,0.0,1.0,read_home_timeline,,-1.0,0.0,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/0,1.0,unsupported,v3-main-771601/deathstarbench_social_network/split/N/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX_inclusive,0.0,1.0,read_home_timeline,,-1.0,0.0,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/0,1.0,unsupported,v3-main-771601/deathstarbench_social_network/split/N/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gstar,-0.0033333333333334103,0.9066666666666666,read_user_timeline,,-0.9283333333333333,0.07166666666666666,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/0,0.9283333333333333,unsupported,v3-main-771601/deathstarbench_social_network/split/N/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,GID,-0.0033333333333334103,0.9066666666666666,read_user_timeline,,-1.0,0.0,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/0,1.0,unsupported,v3-main-771601/deathstarbench_social_network/split/N/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gselected,-0.0033333333333334103,0.9066666666666666,read_user_timeline,,-1.0,0.0,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/0,1.0,unsupported,v3-main-771601/deathstarbench_social_network/split/N/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_deadline,-0.0033333333333334103,0.9066666666666666,read_user_timeline,,-1.0,0.0,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/0,1.0,unsupported,v3-main-771601/deathstarbench_social_network/split/N/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_selection,-0.0033333333333334103,0.9066666666666666,read_user_timeline,,-0.9283333333333333,0.07166666666666666,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/0,0.9283333333333333,unsupported,v3-main-771601/deathstarbench_social_network/split/N/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_completion,-0.0033333333333334103,0.9066666666666666,read_user_timeline,,-0.9283333333333333,0.07166666666666666,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/0,0.9283333333333333,unsupported,v3-main-771601/deathstarbench_social_network/split/N/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,G0,-0.0033333333333334103,0.9066666666666666,read_user_timeline,,-1.0,0.0,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/0,1.0,unsupported,v3-main-771601/deathstarbench_social_network/split/N/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,B0,-0.0033333333333334103,0.9066666666666666,read_user_timeline,,-0.9283333333333333,0.07166666666666666,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/0,0.9283333333333333,unsupported,v3-main-771601/deathstarbench_social_network/split/N/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX,-0.0033333333333334103,0.9066666666666666,read_user_timeline,,-0.9283333333333333,0.07166666666666666,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/0,0.9283333333333333,unsupported,v3-main-771601/deathstarbench_social_network/split/N/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX_inclusive,-0.0033333333333334103,0.9066666666666666,read_user_timeline,,-0.9283333333333333,0.07166666666666666,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/0,0.9283333333333333,unsupported,v3-main-771601/deathstarbench_social_network/split/N/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gstar,-0.010000000000000009,0.9375,compose_post,,-0.9391666666666667,0.060833333333333295,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/1,0.9391666666666667,unsupported,v3-main-771601/deathstarbench_social_network/split/N/1,,False,0,1
unrestricted target business-event law; not a confidence interval,,GID,-0.010000000000000009,0.9375,compose_post,,-1.0,0.0,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/1,1.0,unsupported,v3-main-771601/deathstarbench_social_network/split/N/1,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gselected,-0.010000000000000009,0.9375,compose_post,,-1.0,0.0,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/1,1.0,unsupported,v3-main-771601/deathstarbench_social_network/split/N/1,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_deadline,-0.010000000000000009,0.9375,compose_post,,-1.0,0.0,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/1,1.0,unsupported,v3-main-771601/deathstarbench_social_network/split/N/1,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_selection,-0.010000000000000009,0.9375,compose_post,,-0.9391666666666667,0.060833333333333295,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/1,0.9391666666666667,unsupported,v3-main-771601/deathstarbench_social_network/split/N/1,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_completion,-0.010000000000000009,0.9375,compose_post,,-0.9391666666666667,0.060833333333333295,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/1,0.9391666666666667,unsupported,v3-main-771601/deathstarbench_social_network/split/N/1,,False,0,1
